"p_avg","LONGITUDE","LATITUDE","GEO3major","BEDROCK","BIOME","CLAY","DENSITY","DEPTH","ELEVATION","MANPP","MAPRECIP","MATEMP","PH","SAND","SLOPE","SOC","SOIL.USDA","SOIL.WRB"
9,-93.925,33.8111,"North America",1,6,184,136,1442,96,5185,1289,17,55,309,0,309,3,3
72,-93.925,33.8111,"North America",1,6,184,136,1442,96,5185,1289,17,55,309,0,309,3,3
10.1,-93.92,33.99,"North America",10,6,141,138,1286,162,5308,1361,16,54,341,1,341,3,3
14.1,-93.92,33.99,"North America",10,6,141,138,1286,162,5308,1361,16,54,341,1,341,3,3
17.1,-93.92,33.99,"North America",10,6,141,138,1286,162,5308,1361,16,54,341,1,341,3,3
33.9,-93.92,33.99,"North America",10,6,141,138,1286,162,5308,1361,16,54,341,1,341,3,3
72.1,-93.92,33.99,"North America",10,6,141,138,1286,162,5308,1361,16,54,341,1,341,3,3
73.9,-93.92,33.99,"North America",10,6,141,138,1286,162,5308,1361,16,54,341,1,341,3,3
10,-93.9156,33.8233,"North America",1,6,184,136,1384,96,5185,1289,17,55,309,0,309,3,3
17,-93.9156,33.8233,"North America",1,6,184,136,1384,96,5185,1289,17,55,309,0,309,3,3
8,-93.9114,33.8192,"North America",1,6,184,136,1384,96,5185,1289,17,55,309,0,309,3,3
15,-93.9114,33.8192,"North America",1,6,184,136,1384,96,5185,1289,17,55,309,0,309,3,3
9,-93.9069,34.105,"North America",1,6,114,135,1058,171,1497,1381,16,55,342,1,342,3,3
7,-93.9067,34.1214,"North America",1,6,114,135,979,171,1497,1381,16,55,342,1,342,3,3
15,-93.9067,34.1214,"North America",1,6,114,135,979,171,1497,1381,16,55,342,1,342,3,3
6,-93.9042,33.7739,"North America",5,6,322,142,1417,104,4110,1282,17,59,317,1,317,19,19
13,-93.9042,33.7739,"North America",5,6,322,142,1417,104,4110,1282,17,59,317,1,317,19,19
3,-93.9035126,33.9457224,"North America",1,6,240,139,1639,125,5437,1339,16,54,319,1,319,3,19
29,-93.9022,34.125,"North America",5,6,137,138,979,171,3986,1390,16,52,317,1,317,3,3
56,-93.9022,34.125,"North America",5,6,137,138,979,171,3986,1390,16,52,317,1,317,3,3
8,-93.8961,33.8119,"North America",5,6,269,139,1384,110,5415,1309,17,57,305,1,305,19,19
11,-93.8961,33.8119,"North America",5,6,269,139,1384,110,5415,1309,17,57,305,1,305,19,19
3,-93.8942,34.0683,"North America",5,6,137,138,1058,171,3986,1390,16,52,317,1,317,3,3
7,-93.8942,34.0683,"North America",5,6,137,138,1058,171,3986,1390,16,52,317,1,317,3,3
10,-93.8942,34.0683,"North America",5,6,137,138,1058,171,3986,1390,16,52,317,1,317,3,3
8,-93.8897,33.8064,"North America",5,6,269,139,1384,110,5415,1309,17,57,305,1,305,19,19
29,-93.8897,33.8064,"North America",5,6,269,139,1384,110,5415,1309,17,57,305,1,305,19,19
5,-93.8872,33.7517,"North America",5,6,322,142,1417,104,4110,1282,17,59,317,1,317,19,19
9,-93.8872,33.7517,"North America",5,6,322,142,1417,104,4110,1282,17,59,317,1,317,19,19
11,-93.8847,33.9533,"North America",1,6,240,139,1639,125,5437,1339,16,54,319,1,319,19,19
7,-93.8814,33.7897,"North America",5,6,269,139,1384,110,5415,1309,17,57,305,1,305,19,19
8,-93.8814,33.7897,"North America",5,6,269,139,1384,110,5415,1309,17,57,305,1,305,19,19
8,-93.8789,33.8661,"North America",5,6,269,139,1384,110,5415,1309,17,57,305,1,305,19,19
10,-93.8789,33.8661,"North America",5,6,269,139,1384,110,5415,1309,17,57,305,1,305,19,19
14,-93.8789,33.9386,"North America",1,6,240,139,1639,125,5437,1339,16,54,319,1,319,19,19
15,-93.8789,33.9386,"North America",1,6,240,139,1639,125,5437,1339,16,54,319,1,319,19,19
29,-93.8722,34.0367,"North America",10,6,160,142,1058,164,5704,1373,16,54,317,1,317,3,3
5,-93.8672,33.7622,"North America",5,6,322,142,1417,104,4110,1282,17,59,317,1,317,19,19
9,-93.8667,33.8436,"North America",5,6,269,139,1384,110,5415,1309,17,57,305,1,305,19,19
17,-93.8667,33.8436,"North America",5,6,269,139,1384,110,5415,1309,17,57,305,1,305,19,19
5.1,-93.8617222,32.2783333,"North America",1,6,157,143,2137,73,6050,1266,18,54,286,1,286,19,19
14.7,-93.8617222,32.2783333,"North America",1,6,157,143,2137,73,6050,1266,18,54,286,1,286,19,19
5,-93.8583,33.6561,"North America",1,6,364,133,1851,88,3589,1251,17,58,339,0,339,19,19
8,-93.8583,33.6561,"North America",1,6,364,133,1851,88,3589,1251,17,58,339,0,339,19,19
10,-93.8539,33.6597,"North America",1,6,364,133,1851,88,3589,1251,17,58,339,0,339,19,19
