"gbifID","p_avg","LATITUDE","LONGITUDE","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","BEDROCK","BIOME","CLAY","DENSITY","DEPTH","ELEVATION","MANPP","MAPRECIP","MATEMP","PH","SAND","SLOPE","SOC","SOIL.USDA","SOIL.WRB"
3308658623,20.64183489,18.71028,-100.445,"8016518a-f762-11e1-a439-00145eb45e9a","urn:catalog:IBUNAM:MEXU:1088569:9043bdf777e0a617925cd42246e64fe1","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mexicana","mexicana","SUBSPECIES","Zea mays subsp. mexicana (Schrad.) Iltis","Zea mays subsp. mexicana","(Schrad.) Iltis, 1972","MX",3,3,283,134,361,752,9711,1228,25,66,308,9,308,17,17
3308620352,14.59083001,19.25,-99.7,"8016518a-f762-11e1-a439-00145eb45e9a","urn:catalog:IBUNAM:MEXU:1002270:83f118b875de9432cbdc817ecacdb91d","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mexicana","mexicana","SUBSPECIES","Zea mays subsp. mexicana (Schrad.) Iltis","Zea mays subsp. mexicana","(Schrad.) Iltis, 1972","MX",1,14,259,123,418,2754,65333,918,13,62,344,1,344,21,21
3308590891,19.47057199,18.66694,-100.35,"8016518a-f762-11e1-a439-00145eb45e9a","urn:catalog:IBUNAM:MEXU:1088570:bd15f69aadd4034c131227c1a99cade8","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mexicana","mexicana","SUBSPECIES","Zea mays subsp. mexicana (Schrad.) Iltis","Zea mays subsp. mexicana","(Schrad.) Iltis, 1972","MX",8,4,272,133,71,915,9041,1271,25,62,307,9,307,25,25
3308579455,19.13612312,21.3525,-103.2075,"8016518a-f762-11e1-a439-00145eb45e9a","urn:catalog:IBUNAM:MEXU:1051518:da66ba826429c0b692084980432d6a4a","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mexicana","mexicana","SUBSPECIES","Zea mays subsp. mexicana (Schrad.) Iltis","Zea mays subsp. mexicana","(Schrad.) Iltis, 1972","MX",11,4,290,129,18,1926,7677,806,18,61,295,8,295,19,19
3308538784,15.01914477,19.2,-98.817,"8016518a-f762-11e1-a439-00145eb45e9a","urn:catalog:IBUNAM:MEXU:820945:cf3e777410e43d543f298769336b68b0","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mexicana","mexicana","SUBSPECIES","Zea mays subsp. mexicana (Schrad.) Iltis","Zea mays subsp. mexicana","(Schrad.) Iltis, 1972","MX",10,4,223,124,258,2559,6162,911,15,64,340,5,340,21,25
3308476903,15.01914477,19.2,-98.817,"8016518a-f762-11e1-a439-00145eb45e9a","urn:catalog:IBUNAM:MEXU:806119:558877b49b9e69feff7924c66032fcbf","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mexicana","mexicana","SUBSPECIES","Zea mays subsp. mexicana (Schrad.) Iltis","Zea mays subsp. mexicana","(Schrad.) Iltis, 1972","MX",10,4,223,124,258,2559,6162,911,15,64,340,5,340,21,25
3308473827,26.22255556,19.283,-98.9,"8016518a-f762-11e1-a439-00145eb45e9a","urn:catalog:IBUNAM:MEXU:805610:bbad0122a2156b599e03b9b7105275e8","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mexicana","mexicana","SUBSPECIES","Zea mays subsp. mexicana (Schrad.) Iltis","Zea mays subsp. mexicana","(Schrad.) Iltis, 1972","MX",1,14,271,129,440,2257,24545,654,17,75,255,0,255,21,21
3308187426,19.47057199,18.66694,-100.35,"8016518a-f762-11e1-a439-00145eb45e9a","urn:catalog:IBUNAM:MEXU:2589:2289b69fcd08c6b73b55d213afb1016d","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mexicana","mexicana","SUBSPECIES","Zea mays subsp. mexicana (Schrad.) Iltis","Zea mays subsp. mexicana","(Schrad.) Iltis, 1972","MX",8,4,272,133,71,915,9041,1271,25,62,307,9,307,25,25
3308184402,19.13612312,21.3525,-103.2075,"8016518a-f762-11e1-a439-00145eb45e9a","urn:catalog:IBUNAM:MEXU:2500:1189a9921266233eaab91b437bdab87e","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mexicana","mexicana","SUBSPECIES","Zea mays subsp. mexicana (Schrad.) Iltis","Zea mays subsp. mexicana","(Schrad.) Iltis, 1972","MX",11,4,290,129,18,1926,7677,806,18,61,295,8,295,19,19
3308030534,15.7332856,17.39167,-99.47139,"8016518a-f762-11e1-a439-00145eb45e9a","urn:catalog:IBUNAM:MEXU:1088568:a107f21a6183e038b25a116f6cf520b7","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Zea","Zea mexicana","mexicana","SUBSPECIES","Zea mays subsp. mexicana (Schrad.) Iltis","Zea mays subsp. mexicana","(Schrad.) Iltis, 1972","MX",11,4,282,117,10,1472,9815,1179,22,60,488,20,488,25,19
