"LONGITUDE","LATITUDE","Total_P","SOC","SAND","CLAY","DEPTH","MAT","MAP","PH","NPP","SLOPE","ELEVATION","BIOMES","BEDROCK","SOIL_TYPE","WRB_SOIL_TYPE"
30.16667,13.31667,43.83575,1.977959,793.1034,123.1034,5,27.43229,291,7.732759,699.0231,0,549,9,8,13,"Arenosols"
30.16667,13.31667,49.25205,1.616182,793.1034,123.1034,25,27.43229,291,7.732759,699.0231,0,549,9,8,13,"Arenosols"
30.16667,13.31667,27.24924,0.9189665,793.1034,123.1034,15,27.43229,291,7.732759,699.0231,0,549,9,8,13,"Arenosols"
30.16667,13.31667,54.19177,2.234799,793.1034,123.1034,5,27.43229,291,7.732759,699.0231,0,549,9,8,13,"Arenosols"
30.16667,13.31667,46.73338,1.524717,793.1034,123.1034,15,27.43229,291,7.732759,699.0231,0,549,9,8,13,"Arenosols"
30.16667,13.31667,31.23748,0.8696119,793.1034,123.1034,40,27.43229,291,7.732759,699.0231,0,549,9,8,13,"Arenosols"
30.16667,13.31667,44.34896,1.553422,793.1034,123.1034,15,27.43229,291,7.732759,699.0231,0,549,9,8,13,"Arenosols"
30.16667,13.31667,79.92094,3.31212,793.1034,123.1034,5,27.43229,291,7.732759,699.0231,0,549,9,8,13,"Arenosols"
30.16667,13.31667,41.87189,1.39266,793.1034,123.1034,25,27.43229,291,7.732759,699.0231,0,549,9,8,13,"Arenosols"
30.5,13.3,42.28863,0.933326,783.6207,136.2069,40,27.51146,284.25,7.791379,699.0231,1,518,9,8,13,"Arenosols"
30.5,13.3,52.87704,2.35099,783.6207,136.2069,5,27.51146,284.25,7.791379,699.0231,1,518,9,8,13,"Arenosols"
30.5,13.3,37.21909,1.024094,783.6207,136.2069,40,27.51146,284.25,7.791379,699.0231,1,518,9,8,13,"Arenosols"
30.5,13.3,44.94676,1.139103,783.6207,136.2069,15,27.51146,284.25,7.791379,699.0231,1,518,9,8,13,"Arenosols"
30.5,13.3,44.39295,1.007631,783.6207,136.2069,25,27.51146,284.25,7.791379,699.0231,1,518,9,8,13,"Arenosols"
30.5,13.3,42.00194,1.232598,783.6207,136.2069,25,27.51146,284.25,7.791379,699.0231,1,518,9,8,13,"Arenosols"
30.5,13.3,42.50276,1.544295,783.6207,136.2069,15,27.51146,284.25,7.791379,699.0231,1,518,9,8,13,"Arenosols"
30.5,13.3,45.58456,2.086784,783.6207,136.2069,5,27.51146,284.25,7.791379,699.0231,1,518,9,8,13,"Arenosols"
30.5,13.3,29.30278,0.9177059,783.6207,136.2069,40,27.51146,284.25,7.791379,699.0231,1,518,9,8,13,"Arenosols"
30.5,13.3,30.31926,1.071126,783.6207,136.2069,40,27.51146,284.25,7.791379,699.0231,1,518,9,8,13,"Arenosols"
30.5,13.3,51.41912,1.72,783.6207,136.2069,5,27.51146,284.25,7.791379,699.0231,1,518,9,8,13,"Arenosols"
30.5,13.3,30.1552,1.146435,783.6207,136.2069,25,27.51146,284.25,7.791379,699.0231,1,518,9,8,13,"Arenosols"
30.5,13.3,60.58756,1.709118,783.6207,136.2069,15,27.51146,284.25,7.791379,699.0231,1,518,9,8,13,"Arenosols"
30.5,13.3,38.15794,0.7573197,783.6207,136.2069,40,27.51146,284.25,7.791379,699.0231,1,518,9,8,13,"Arenosols"
30.5,13.3,33.0429,1.22898,783.6207,136.2069,15,27.51146,284.25,7.791379,699.0231,1,518,9,8,13,"Arenosols"
30.5,13.3,31.42354,1.127353,783.6207,136.2069,25,27.51146,284.25,7.791379,699.0231,1,518,9,8,13,"Arenosols"
30.5,13.3,32.10837,1.40628,783.6207,136.2069,15,27.51146,284.25,7.791379,699.0231,1,518,9,8,13,"Arenosols"
30.5,13.3,35.68979,0.934582,783.6207,136.2069,25,27.51146,284.25,7.791379,699.0231,1,518,9,8,13,"Arenosols"
30.5,13.3,53.16601,1.748107,783.6207,136.2069,5,27.51146,284.25,7.791379,699.0231,1,518,9,8,13,"Arenosols"
30.5,13.3,44.24002,1.466837,783.6207,136.2069,15,27.51146,284.25,7.791379,699.0231,1,518,9,8,13,"Arenosols"
30.5,13.3,40.89401,1.648227,783.6207,136.2069,5,27.51146,284.25,7.791379,699.0231,1,518,9,8,13,"Arenosols"
