"x","y","p_avg","ID","SOC","MAP","MAT","SAND","CLAY","PH","BEDROCK","SOIL.TYPE","DEPTH","NPP","SLOPE","ELEVATION","BIOMES","EROIDX","TCEQ","CACO3"
2.083333,13.533333,2,7396,3.49999994,424.9286194,29.30521393,777.8607788,114.6750031,5.669697762,1,10,65,150,0.695930259,245.7254639,12,3.20000004768372,0,0
2.083333,13.533333,3,7397,3.49999994,424.9286194,29.30521393,777.8607788,114.6750031,5.669697762,1,10,65,150,0.695930259,245.7254639,12,3.20000004768372,0,0
2.083333,13.533333,4,7398,3.49999994,424.9286194,29.30521393,777.8607788,114.6750031,5.669697762,1,10,65,150,0.695930259,245.7254639,12,3.20000004768372,0,0
2.083333,13.533333,5,7399,3.49999994,424.9286194,29.30521393,777.8607788,114.6750031,5.669697762,1,10,65,150,0.695930259,245.7254639,12,3.20000004768372,0,0
2.083333,13.533333,6,7400,3.49999994,424.9286194,29.30521393,777.8607788,114.6750031,5.669697762,1,10,65,150,0.695930259,245.7254639,12,3.20000004768372,0,0
2.083333,13.533333,8,7401,3.49999994,424.9286194,29.30521393,777.8607788,114.6750031,5.669697762,1,10,65,150,0.695930259,245.7254639,12,3.20000004768372,0,0
2.083333,13.533333,9,7402,3.49999994,424.9286194,29.30521393,777.8607788,114.6750031,5.669697762,1,10,65,150,0.695930259,245.7254639,12,3.20000004768372,0,0
2.083333,13.533333,12,7403,3.49999994,424.9286194,29.30521393,777.8607788,114.6750031,5.669697762,1,10,65,150,0.695930259,245.7254639,12,3.20000004768372,0,0
2.083333,13.533333,15,7404,3.49999994,424.9286194,29.30521393,777.8607788,114.6750031,5.669697762,1,10,65,150,0.695930259,245.7254639,12,3.20000004768372,0,0
2.083333,13.533333,16,7405,3.49999994,424.9286194,29.30521393,777.8607788,114.6750031,5.669697762,1,10,65,150,0.695930259,245.7254639,12,3.20000004768372,0,0
2.083333,13.533333,19,7406,3.49999994,424.9286194,29.30521393,777.8607788,114.6750031,5.669697762,1,10,65,150,0.695930259,245.7254639,12,3.20000004768372,0,0
2.6638889,44.5747222,2,7408,29.49300051,825.729187,9.135597229,450.0526733,199.1088257,5.809037209,9,11,65,65535,5.026170496,834.1033936,6,1,0,90
3.88333,7.48333,2,7411,11.54900074,1327.528564,26.42388344,674.9019775,160.8998108,5.898198605,8,10,65,65535,0.993583656,136.6547699,12,1,0,0
3.88333,7.48333,7.5,7412,11.54900074,1327.528564,26.42388344,674.9019775,160.8998108,5.898198605,8,10,65,65535,0.993583656,136.6547699,12,1,0,0
3.9027779,7.5025001,2,7413,8.378999829,1204.589722,26.33504868,719.0233765,125.2093048,6.127367496,8,10,65,65535,0.993556408,235.8227386,12,1,0,90
