"x","y","p_avg","SOC","MAP","MAT","SAND","CLAY","PH","BEDROCK","SOIL.TYPE","DEPTH","NPP","SLOPE","ELEVATION","BIOMES","EROIDX","TCEQ","CACO3"
17.75712,49.82941,10.1,11.7750001,702.7822266,7.474205971,333.7973022,183.2585144,5.848833084,3,11,65,65535,2.599388677,402.6537476,6,1.5,0,0
17.77031,49.73816,18.8,11.7750001,702.7822266,7.474205971,333.7973022,183.2585144,5.848833084,3,11,65,65535,2.599388677,402.6537476,6,1.5,0,0
17.77133,62.82857,14,52.69999981,701.0155029,3.126766682,559.9303589,71.92321014,4.685466766,8,3,65,65535,2.718400337,138.6545563,3,1,0,0
17.77192,50.94842,98.6,13.39599967,596.6383057,8.482761383,581.9168091,128.3645935,5.952045918,1,12,65,65535,0.37216267,173.6365662,6,3.20000004768372,0,20
17.77432,52.48357,47.8,11.43000007,508.1897278,8.724077225,720.7853394,80.59585571,6.002064705,1,10,65,5138,0.177715499,99.75032806,5,3.20000004768372,0,0
17.77582,52.82664,62.2,59.13400173,522.8902588,8.419475555,705.142395,84.30534363,6.009184837,1,10,65,65535,0.254093815,101.1546936,5,3.20000004768372,0,0
17.78309,54.68651,21.2,101.0843754,639.038208,7.530480385,635.6113281,107.7040329,5.410638332,1,13,65,65535,1.162357564,54.32632828,6,3.20000004768372,0,0
17.79353,48.14625,44.4,13.47800016,575.5411377,9.924676895,353.1530151,238.2727661,7.160549641,1,9,65,65535,0.933866314,166.0785828,5,3.20000004768372,117,476
17.79606,47.63991,24.4,12.77199984,537.8841553,10.26205444,429.8612976,229.5116577,7.385023117,1,12,65,65535,0.515752882,129.504425,5,3.20000004768372,226,476
17.79654,49.5556,60,11.7750001,702.7822266,7.474205971,333.7973022,183.2585144,5.848833084,3,11,65,65535,2.599388677,402.6537476,6,1.5,0,0
17.7973,59.07813,10.2,15.38888931,561.3707886,6.286843777,521.7160645,187.5713806,5.028939247,8,6,65,65535,0.728500905,28.70649719,0,1,0,0
17.81655,53.38393,21.1,43.58200073,542.3660889,8.012312889,717.2409668,82.32655334,5.767868996,1,10,65,65535,0.358871631,98.41081238,6,3.20000004768372,34,0
17.81681,49.68077,45.5,11.7750001,702.7822266,7.474205971,333.7973022,183.2585144,5.848833084,3,11,65,65535,2.599388677,402.6537476,6,1.5,0,0
17.82262,51.92047,44.3,13.4070003,524.4897461,8.581783295,689.5265503,84.31838989,5.864212513,1,10,65,65535,0.293708483,129.7937469,5,3.20000004768372,0,0
17.82267,52.58876,64.2,59.13400173,522.8902588,8.419475555,705.142395,84.30534363,6.009184837,1,10,65,65535,0.254093815,101.1546936,5,3.20000004768372,0,0
17.8231,-19.8762,2.29,3.926999867,524.901123,20.16430473,647.8009644,204.9663086,7.039673805,6,12,65,65535,1.808389224,1426.04126,10,1,18,300
17.827209,40.535651,50.8,8.928571343,515.2918701,16.03465652,357.6638489,264.492981,7.472985744,6,13,65,65535,0.776600506,110.5058746,0,NA,NA,NA
17.8487,-17.6364,8.48,2.5,584.9066772,22.379776,893.9420166,56.24633026,6.561243057,1,12,65,5155,0.009266169,1149.487061,12,3.20000004768372,0,303
17.84883,50.72644,34.6,13.39599967,596.6383057,8.482761383,581.9168091,128.3645935,5.952045918,1,12,65,65535,0.37216267,173.6365662,6,3.20000004768372,0,20
17.8493,50.22054,49.6,14.6660006,635.6733398,8.047559738,301.1297913,176.8928223,6.209221363,1,11,65,65535,1.440715466,313.3006287,6,3.20000004768372,0,90
17.8505,-17.6278,5.5,2.5,584.9066772,22.379776,893.9420166,56.24633026,6.561243057,1,12,65,5155,0.009266169,1149.487061,12,3.20000004768372,0,303
17.85055,47.81677,41.2,12.77199984,537.8841553,10.26205444,429.8612976,229.5116577,7.385023117,1,12,65,65535,0.515752882,129.504425,5,3.20000004768372,226,476
17.85082,52.08114,16.4,11.43000007,508.1897278,8.724077225,720.7853394,80.59585571,6.002064705,1,10,65,5138,0.177715499,99.75032806,5,3.20000004768372,0,0
17.8538,-19.6381,6.87,3.926999867,524.901123,20.16430473,647.8009644,204.9663086,7.039673805,6,12,65,65535,1.808389224,1426.04126,10,1,18,300
17.8599,50.96054,36,13.39599967,596.6383057,8.482761383,581.9168091,128.3645935,5.952045918,1,12,65,65535,0.37216267,173.6365662,6,3.20000004768372,0,20
17.87451,52.71181,59.9,59.13400173,522.8902588,8.419475555,705.142395,84.30534363,6.009184837,1,10,65,65535,0.254093815,101.1546936,5,3.20000004768372,0,0
17.87536,50.03803,22.3,14.6660006,635.6733398,8.047559738,301.1297913,176.8928223,6.209221363,1,11,65,65535,1.440715466,313.3006287,6,3.20000004768372,0,90
17.876,50.8872,17.8,13.39599967,596.6383057,8.482761383,581.9168091,128.3645935,5.952045918,1,12,65,65535,0.37216267,173.6365662,6,3.20000004768372,0,20
17.87912,54.37344,36.1,23.94099951,647.5969238,6.93641901,674.6358643,88.48339844,5.28610754,1,12,65,65535,0.819224292,161.7264557,6,3.20000004768372,0,0
17.8797,62.6416,26.3,52.69999981,701.0155029,3.126766682,559.9303589,71.92321014,4.685466766,8,3,65,65535,2.718400337,138.6545563,3,1,0,0
17.88958,49.78414,92.8,11.7750001,702.7822266,7.474205971,333.7973022,183.2585144,5.848833084,3,11,65,65535,2.599388677,402.6537476,6,1.5,0,0
17.891258,62.985643,41.7,52.69999981,701.0155029,3.126766682,559.9303589,71.92321014,4.685466766,8,3,65,65535,2.718400337,138.6545563,3,1,0,0
17.90307,50.54207,76.9,13.39599967,596.6383057,8.482761383,581.9168091,128.3645935,5.952045918,1,12,65,65535,0.37216267,173.6365662,6,3.20000004768372,0,20
17.90353,51.04789,129.9,20.80500126,571.4983521,8.30396843,612.2752075,93.83920288,5.772789001,1,11,65,5110,0.40464683,169.0142212,6,3.20000004768372,0,0
17.9059,48.51786,44.5,13.38999987,665.1160889,8.561250687,308.5300293,230.2631836,6.224676132,3,10,65,65535,3.089908755,318.1118469,6,1.39999997615814,NA,1281
17.91003,50.41511,36.2,14.6660006,635.6733398,8.047559738,301.1297913,176.8928223,6.209221363,1,11,65,65535,1.440715466,313.3006287,6,3.20000004768372,0,90
